record_id,geography,reference_period,headline_cpi_annual_pct,cpi_month_on_month_pct,source_institution,source_url,retrieved_date,composite_status,comparability_note
JOR-2026-01,Jordan,2026-01,1.06,0.17,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_022026/,2026-08-13,withheld,Monthly year-on-year and month-on-month rates; not the cumulative year-to-date average
JOR-2026-02,Jordan,2026-02,1.17,0.22,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_032026/,2026-08-13,withheld,Monthly year-on-year and month-on-month rates; not the cumulative year-to-date average
JOR-2026-03,Jordan,2026-03,1.87,0.76,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_042026/,2026-08-13,withheld,Monthly year-on-year and month-on-month rates; not the cumulative year-to-date average
JOR-2026-04,Jordan,2026-04,2.49,0.70,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_052026/,2026-08-13,withheld,Monthly year-on-year and month-on-month rates; not the cumulative year-to-date average
JOR-2026-05,Jordan,2026-05,2.83,0.55,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_062026/,2026-08-13,withheld,Monthly year-on-year and month-on-month rates; not the cumulative year-to-date average
JOR-2026-06,Jordan,2026-06,2.79,0.14,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_072026/,2026-08-13,withheld,Monthly year-on-year and month-on-month rates; not the cumulative first-half average
MAR-2026-01,Morocco,2026-01,-0.8,0.3,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2026_a4251.html,2026-08-13,withheld,Official national CPI release; core measure excludes volatile and public-tariff items
MAR-2026-02,Morocco,2026-02,-0.6,0.5,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Fevrier-2026_a4267.html,2026-08-13,withheld,Official national CPI release; core measure excludes volatile and public-tariff items
MAR-2026-03,Morocco,2026-03,0.9,1.2,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mars-2026_a4304.html,2026-08-13,withheld,Official national CPI release; core measure excludes volatile and public-tariff items
MAR-2026-04,Morocco,2026-04,1.7,0.4,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2026_a4314.html,2026-08-13,withheld,Official national CPI release; core measure excludes volatile and public-tariff items
MAR-2026-05,Morocco,2026-05,1.2,-0.9,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2026_a4322.html,2026-08-13,withheld,Official national CPI release; core measure excludes volatile and public-tariff items
MAR-2026-06,Morocco,2026-06,0.3,-0.4,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2026_a4339.html,2026-08-13,withheld,Official national CPI release; core measure excludes volatile and public-tariff items
PSE-2026-01,Palestine overall,2026-01,-14.39,1.11,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23461,2026-08-13,withheld_structural_break,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
PSE-2026-02,Palestine overall,2026-02,11.61,12.02,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23432,2026-08-13,withheld_structural_break,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
PSE-2026-03,Palestine overall,2026-03,3.02,5.27,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=23572,2026-08-13,withheld_structural_break,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
PSE-2026-04,Palestine overall,2026-04,-21.78,-0.75,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=25987,2026-08-13,withheld_structural_break,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
PSE-2026-05,Palestine overall,2026-05,-36.96,-0.40,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26093,2026-08-13,withheld_structural_break,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
PSE-2026-06,Palestine overall,2026-06,-40.04,-1.60,Palestinian Central Bureau of Statistics,https://www.pcbs.gov.ps/en/post-details/?postId=26333,2026-08-13,withheld_structural_break,Overall series combines separately published conflict-affected geographies; direction is not a welfare signal
SAU-2026-01,Saudi Arabia,2026-01,1.8,0.2,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/d/guest/cpi-jan-2026-en-pdf,2026-08-13,withheld,Official monthly CPI release; updated CPI methodology has applied since August 2025
