record_id,geography,reference_period,measure_type,headline_cpi_annual_pct,cpi_month_on_month_pct,food_cpi_annual_pct,housing_cpi_annual_pct,core_cpi_annual_pct,prior_period_headline_pct,usd_exchange_rate_local_per_usd,market_layer,narrative_layer,composite_status,source_institution,source_url,retrieved_date,comparability_note
TUN-2026-01,Tunisia,2026-01,monthly_annual_rate,4.8,0.3,5.9,,4.9,4.9,,missing,pending_audit,withheld,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-janvier-2026,2026-08-13,Official monthly CPI release; national headline and component rates retained as published
TUN-2026-02,Tunisia,2026-02,monthly_annual_rate,5.0,0.1,6.7,,4.6,4.8,,missing,pending_audit,withheld,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-fevrier-2026,2026-08-13,Official monthly CPI release; national headline and component rates retained as published
TUN-2026-03,Tunisia,2026-03,monthly_annual_rate,5.0,1.0,6.8,,4.6,5.0,,missing,pending_audit,withheld,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-mars-2026,2026-08-13,Official monthly CPI release; national headline and component rates retained as published
TUN-2026-04,Tunisia,2026-04,monthly_annual_rate,5.5,1.1,8.2,,4.8,5.0,,missing,pending_audit,withheld,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-avril-2026,2026-08-13,Official monthly CPI release; national headline and component rates retained as published
TUN-2026-05,Tunisia,2026-05,monthly_annual_rate,5.5,0.3,8.2,,4.8,5.5,,missing,pending_audit,withheld,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-mai-2026,2026-08-13,Official monthly CPI release; national headline and component rates retained as published
TUN-2026-06,Tunisia,2026-06,monthly_annual_rate,5.3,0.2,7.1,,4.9,5.5,,missing,pending_audit,withheld,National Institute of Statistics (Tunisia),https://www.ins.tn/publication/indice-des-prix-la-consommation-juin-2026,2026-08-13,Official monthly CPI release; national headline and component rates retained as published
SAU-2026-01,Saudi Arabia,2026-01,monthly_annual_rate,1.8,0.2,0.2,4.2,,2.1,,missing,pending_audit,withheld,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/d/guest/cpi-jan-2026-en-pdf,2026-08-13,Official monthly CPI release; updated CPI methodology has applied since August 2025
SAU-2026-02,Saudi Arabia,2026-02,monthly_annual_rate,1.7,0.0,0.0,4.1,,1.8,,missing,pending_audit,withheld,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/20117/2435267/CPI%2BFeb%2B2026-EN.pdf/b5bb5491-511c-d979-de0b-f84380966d1a?t=1773476710285,2026-08-13,Official release describes month-on-month price stability; updated CPI methodology has applied since August 2025
SAU-2026-03,Saudi Arabia,2026-03,monthly_annual_rate,1.8,0.3,0.3,3.9,,1.7,,missing,pending_audit,withheld,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/20117/2435267/CPI%2BMar%2B2026-EN.pdf/1afd0875-51e0-017d-142a-dad764e9c4a2?t=1776149346515,2026-08-13,Official monthly CPI release; updated CPI methodology has applied since August 2025
SAU-2026-04,Saudi Arabia,2026-04,monthly_annual_rate,1.7,0.2,0.6,3.8,,1.8,,missing,pending_audit,withheld,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/20117/2435267/CPI%2BApr%2B2026-EN.pdf/bde04884-dadd-e281-310c-2b262b578372?t=1778577209221,2026-08-13,Official monthly CPI release; updated CPI methodology has applied since August 2025
SAU-2026-05,Saudi Arabia,2026-05,monthly_annual_rate,1.8,0.2,0.7,3.7,,1.7,,missing,pending_audit,withheld,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/en/w/consumer-price-index-may-2026-1,2026-08-13,Official monthly CPI release; updated CPI methodology has applied since August 2025
SAU-2026-06,Saudi Arabia,2026-06,monthly_annual_rate,1.8,0.2,1.4,3.5,,1.8,,missing,pending_audit,withheld,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/20117/2435267/CPI%2BJun%2B2026-EN%2B%281%29.pdf/06a48d85-4368-1e92-dfcb-8a092010e724?t=1783941888045,2026-08-13,Official monthly CPI release; updated CPI methodology has applied since August 2025
MAR-2026-01,Morocco,2026-01,monthly_annual_rate,-0.8,0.3,-2.1,,-1.2,,,missing,pending_audit,withheld,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2026_a4251.html,2026-08-13,Official national CPI release; core measure excludes volatile and public-tariff items
MAR-2026-02,Morocco,2026-02,monthly_annual_rate,-0.6,0.5,-2.0,,-1.2,-0.8,,missing,pending_audit,withheld,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Fevrier-2026_a4267.html,2026-08-13,Official national CPI release; core measure excludes volatile and public-tariff items
MAR-2026-03,Morocco,2026-03,monthly_annual_rate,0.9,1.2,0.6,,-0.6,-0.6,,missing,pending_audit,withheld,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mars-2026_a4304.html,2026-08-13,Official national CPI release; core measure excludes volatile and public-tariff items
MAR-2026-04,Morocco,2026-04,monthly_annual_rate,1.7,0.4,0.6,,-0.3,0.9,,missing,pending_audit,withheld,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2026_a4314.html,2026-08-13,Official national CPI release; core measure excludes volatile and public-tariff items
MAR-2026-05,Morocco,2026-05,monthly_annual_rate,1.2,-0.9,-0.7,,-0.1,1.7,,missing,pending_audit,withheld,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2026_a4322.html,2026-08-13,Official national CPI release; core measure excludes volatile and public-tariff items
MAR-2026-06,Morocco,2026-06,monthly_annual_rate,0.3,-0.4,-2.3,,-0.1,1.2,,missing,pending_audit,withheld,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2026_a4339.html,2026-08-13,Official national CPI release; core measure excludes volatile and public-tariff items
JOR-2026-01,Jordan,2026-01,monthly_annual_rate,1.06,0.17,,,,1.31,,missing,pending_audit,withheld,Department of Statistics (Jordan),https://dosweb.dos.gov.jo/cpi_022026/,2026-08-13,Monthly year-on-year and month-on-month rates; not the cumulative year-to-date average
